Search parameters {'num_hidden': 10, 'size_layer': 329, 'learning_rate': 0.1800524422903839, 'dropout_rate': 0.7852236001080795}	 stop after 400 iteration with train cost	0.534630	 test cost	0.446257	 train acc	0.741300	 test acc	0.846411
Search parameters {'num_hidden': 8, 'size_layer': 274, 'learning_rate': 0.0687720010632539, 'dropout_rate': 0.8540326108684215}	 stop after 400 iteration with train cost	0.535006	 test cost	0.452491	 train acc	0.739727	 test acc	0.837715
Search parameters {'num_hidden': 7, 'size_layer': 342, 'learning_rate': 0.05330329838498818, 'dropout_rate': 0.6171022862470916}	 stop after 400 iteration with train cost	0.539340	 test cost	0.450927	 train acc	0.738028	 test acc	0.853387
Search parameters {'num_hidden': 8, 'size_layer': 343, 'learning_rate': 0.03895128844743231, 'dropout_rate': 0.8689859208684265}	 stop after 400 iteration with train cost	0.535906	 test cost	0.449537	 train acc	0.739550	 test acc	0.850051
Search parameters {'num_hidden': 9, 'size_layer': 296, 'learning_rate': 0.12432536307155136, 'dropout_rate': 0.6574284225231097}	 stop after 400 iteration with train cost	0.538149	 test cost	0.451198	 train acc	0.737749	 test acc	0.858342
Search parameters {'num_hidden': 9, 'size_layer': 258, 'learning_rate': 0.12981576757470104, 'dropout_rate': 0.664747486134726}	 stop after 400 iteration with train cost	0.537764	 test cost	0.456036	 train acc	0.739347	 test acc	0.853387
Search parameters {'num_hidden': 9, 'size_layer': 276, 'learning_rate': 0.13904679032488715, 'dropout_rate': 0.7166795612971183}	 stop after 400 iteration with train cost	0.536462	 test cost	0.446163	 train acc	0.740387	 test acc	0.859454
Search parameters {'num_hidden': 9, 'size_layer': 261, 'learning_rate': 0.17812031901246728, 'dropout_rate': 0.7044962643746727}	 stop after 400 iteration with train cost	0.536734	 test cost	0.460767	 train acc	0.738915	 test acc	0.854904
Search parameters {'num_hidden': 8, 'size_layer': 342, 'learning_rate': 0.1378041525555454, 'dropout_rate': 0.7050676874033818}	 stop after 400 iteration with train cost	0.536005	 test cost	0.446347	 train acc	0.738966	 test acc	0.861173
Search parameters {'num_hidden': 10, 'size_layer': 318, 'learning_rate': 0.16425607126637365, 'dropout_rate': 0.8622223415570242}	 stop after 400 iteration with train cost	0.532309	 test cost	0.438370	 train acc	0.740285	 test acc	0.834985
Search parameters {'num_hidden': 10, 'size_layer': 266, 'learning_rate': 0.028707111835574735, 'dropout_rate': 0.7733975246356044}	 stop after 400 iteration with train cost	0.539278	 test cost	0.456116	 train acc	0.739093	 test acc	0.845804
Search parameters {'num_hidden': 9, 'size_layer': 339, 'learning_rate': 0.10913238161132442, 'dropout_rate': 0.6656895706922824}	 stop after 400 iteration with train cost	0.536749	 test cost	0.451116	 train acc	0.740792	 test acc	0.853286
Search parameters {'num_hidden': 10, 'size_layer': 285, 'learning_rate': 0.04045042890951497, 'dropout_rate': 0.8364079200454071}	 stop after 400 iteration with train cost	0.536143	 test cost	0.454896	 train acc	0.738890	 test acc	0.845501
Search parameters {'num_hidden': 7, 'size_layer': 260, 'learning_rate': 0.06025246456786615, 'dropout_rate': 0.8947823358057043}	 stop after 400 iteration with train cost	0.533901	 test cost	0.451851	 train acc	0.740970	 test acc	0.844085
Search parameters {'num_hidden': 8, 'size_layer': 263, 'learning_rate': 0.06104795909341662, 'dropout_rate': 0.6810648711779247}	 stop after 400 iteration with train cost	0.538445	 test cost	0.450385	 train acc	0.739042	 test acc	0.850758
Search parameters {'num_hidden': 10, 'size_layer': 334, 'learning_rate': 0.1259768729840861, 'dropout_rate': 0.8860860517671016}	 stop after 400 iteration with train cost	0.533560	 test cost	0.442590	 train acc	0.739778	 test acc	0.842164
Search parameters {'num_hidden': 9, 'size_layer': 312, 'learning_rate': 0.05441466139349118, 'dropout_rate': 0.6175688821912162}	 stop after 400 iteration with train cost	0.541052	 test cost	0.461017	 train acc	0.739245	 test acc	0.851466
Search parameters {'num_hidden': 11, 'size_layer': 344, 'learning_rate': 0.037016609731699485, 'dropout_rate': 0.6919727718160457}	 stop after 400 iteration with train cost	0.549416	 test cost	0.459325	 train acc	0.737799	 test acc	0.866936
