Search parameters {'num_hidden': 10, 'size_layer': 295, 'learning_rate': 0.17184821932317373, 'dropout_rate': 0.8886722800077919}	 stop after 400 iteration with train cost	0.436671	 test cost	0.885557	 train acc	0.825411	 test acc	0.538018
Search parameters {'num_hidden': 11, 'size_layer': 325, 'learning_rate': 0.08370458882325921, 'dropout_rate': 0.7505022152447347}	 stop after 400 iteration with train cost	0.438865	 test cost	0.878442	 train acc	0.822621	 test acc	0.537614
Search parameters {'num_hidden': 10, 'size_layer': 322, 'learning_rate': 0.1907864313002442, 'dropout_rate': 0.8814924002636795}	 stop after 400 iteration with train cost	0.435788	 test cost	0.876229	 train acc	0.825411	 test acc	0.552275
Search parameters {'num_hidden': 8, 'size_layer': 264, 'learning_rate': 0.0701311568071048, 'dropout_rate': 0.6492970844829833}	 stop after 400 iteration with train cost	0.440968	 test cost	0.891503	 train acc	0.822012	 test acc	0.539838
Search parameters {'num_hidden': 11, 'size_layer': 281, 'learning_rate': 0.045476926303226875, 'dropout_rate': 0.7749716971332451}	 stop after 400 iteration with train cost	0.440518	 test cost	0.892305	 train acc	0.821733	 test acc	0.539838
Search parameters {'num_hidden': 10, 'size_layer': 272, 'learning_rate': 0.11916322361783359, 'dropout_rate': 0.6215475242922494}	 stop after 400 iteration with train cost	0.442845	 test cost	0.892825	 train acc	0.821530	 test acc	0.537412
Search parameters {'num_hidden': 9, 'size_layer': 326, 'learning_rate': 0.19670545533823622, 'dropout_rate': 0.7235958564620382}	 stop after 400 iteration with train cost	0.439020	 test cost	0.886333	 train acc	0.824016	 test acc	0.544186
Search parameters {'num_hidden': 10, 'size_layer': 306, 'learning_rate': 0.06640946656839875, 'dropout_rate': 0.8450230645538698}	 stop after 400 iteration with train cost	0.438273	 test cost	0.870821	 train acc	0.822748	 test acc	0.541355
Search parameters {'num_hidden': 8, 'size_layer': 274, 'learning_rate': 0.18749242841923466, 'dropout_rate': 0.7910581109671999}	 stop after 400 iteration with train cost	0.437640	 test cost	0.881709	 train acc	0.823914	 test acc	0.537513
Search parameters {'num_hidden': 7, 'size_layer': 318, 'learning_rate': 0.14847441487597451, 'dropout_rate': 0.7102856784417915}	 stop after 400 iteration with train cost	0.438639	 test cost	0.888146	 train acc	0.821631	 test acc	0.540040
Search parameters {'num_hidden': 10, 'size_layer': 287, 'learning_rate': 0.025282614847081518, 'dropout_rate': 0.6396069725808122}	 stop after 400 iteration with train cost	0.446556	 test cost	0.898828	 train acc	0.821048	 test acc	0.542467
Search parameters {'num_hidden': 9, 'size_layer': 271, 'learning_rate': 0.09870181788301946, 'dropout_rate': 0.6797178403468641}	 stop after 400 iteration with train cost	0.440194	 test cost	0.889394	 train acc	0.821809	 test acc	0.539636
Search parameters {'num_hidden': 9, 'size_layer': 263, 'learning_rate': 0.01009901494454161, 'dropout_rate': 0.8086364993861778}	 stop after 400 iteration with train cost	0.444284	 test cost	0.906949	 train acc	0.822113	 test acc	0.545399
Search parameters {'num_hidden': 11, 'size_layer': 262, 'learning_rate': 0.1106617266479287, 'dropout_rate': 0.8238696336997396}	 stop after 400 iteration with train cost	0.437939	 test cost	0.885985	 train acc	0.823432	 test acc	0.542872
Search parameters {'num_hidden': 10, 'size_layer': 296, 'learning_rate': 0.1974414485081318, 'dropout_rate': 0.7291717609611792}	 stop after 400 iteration with train cost	0.442044	 test cost	0.877479	 train acc	0.822748	 test acc	0.547118
Search parameters {'num_hidden': 10, 'size_layer': 343, 'learning_rate': 0.1227930191987097, 'dropout_rate': 0.8315214727913997}	 stop after 400 iteration with train cost	0.438030	 test cost	0.883756	 train acc	0.823280	 test acc	0.546916
Search parameters {'num_hidden': 10, 'size_layer': 313, 'learning_rate': 0.17097549440257256, 'dropout_rate': 0.8612601206919859}	 stop after 400 iteration with train cost	0.436697	 test cost	0.877837	 train acc	0.824929	 test acc	0.538018
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.1945112843429924, 'dropout_rate': 0.7760394937334032}	 stop after 400 iteration with train cost	nan	 test cost	nan	 train acc	0.249797	 test acc	0.767037
Search parameters {'num_hidden': 11, 'size_layer': 296, 'learning_rate': 0.10795192586643039, 'dropout_rate': 0.6888054103249203}	 stop after 400 iteration with train cost	0.562219	 test cost	1.134569	 train acc	0.750203	 test acc	0.232963
Search parameters {'num_hidden': 8, 'size_layer': 310, 'learning_rate': 0.0698660819953196, 'dropout_rate': 0.6513607456384287}	 stop after 400 iteration with train cost	0.440601	 test cost	0.898943	 train acc	0.821073	 test acc	0.528008
Search parameters {'num_hidden': 11, 'size_layer': 321, 'learning_rate': 0.15954657621538051, 'dropout_rate': 0.6427033850392102}	 stop after 400 iteration with train cost	0.562237	 test cost	1.135823	 train acc	0.750203	 test acc	0.232963
Search parameters {'num_hidden': 10, 'size_layer': 342, 'learning_rate': 0.09646183368235782, 'dropout_rate': 0.6380466735420964}	 stop after 400 iteration with train cost	0.441227	 test cost	0.886061	 train acc	0.822646	 test acc	0.534884
Search parameters {'num_hidden': 11, 'size_layer': 329, 'learning_rate': 0.049056551751638304, 'dropout_rate': 0.8312763861992465}	 stop after 400 iteration with train cost	0.439233	 test cost	0.883874	 train acc	0.822595	 test acc	0.545096
Search parameters {'num_hidden': 10, 'size_layer': 323, 'learning_rate': 0.16151924092208175, 'dropout_rate': 0.6592428278182413}	 stop after 400 iteration with train cost	0.441135	 test cost	0.880697	 train acc	0.823407	 test acc	0.541355
Search parameters {'num_hidden': 8, 'size_layer': 330, 'learning_rate': 0.03613381380911363, 'dropout_rate': 0.8052274210457941}	 stop after 400 iteration with train cost	0.439342	 test cost	0.886264	 train acc	0.823077	 test acc	0.541557
Search parameters {'num_hidden': 9, 'size_layer': 277, 'learning_rate': 0.054650550447846946, 'dropout_rate': 0.7903266733803501}	 stop after 400 iteration with train cost	0.439260	 test cost	0.887575	 train acc	0.822088	 test acc	0.540445
Search parameters {'num_hidden': 9, 'size_layer': 303, 'learning_rate': 0.1024684143797196, 'dropout_rate': 0.6148507322566809}	 stop after 400 iteration with train cost	0.441293	 test cost	0.897936	 train acc	0.822266	 test acc	0.535490
Search parameters {'num_hidden': 11, 'size_layer': 286, 'learning_rate': 0.19429759181648784, 'dropout_rate': 0.7711860262512644}	 stop after 400 iteration with train cost	0.438795	 test cost	0.889169	 train acc	0.823204	 test acc	0.541254
Search parameters {'num_hidden': 7, 'size_layer': 316, 'learning_rate': 0.0830392497923854, 'dropout_rate': 0.7705723378110027}	 stop after 400 iteration with train cost	0.438310	 test cost	0.894387	 train acc	0.822976	 test acc	0.535187
Search parameters {'num_hidden': 9, 'size_layer': 264, 'learning_rate': 0.11300291536236996, 'dropout_rate': 0.8301345289365176}	 stop after 400 iteration with train cost	0.438010	 test cost	0.873917	 train acc	0.822900	 test acc	0.547422
Search parameters {'num_hidden': 8, 'size_layer': 293, 'learning_rate': 0.11416013719330158, 'dropout_rate': 0.8540363916712163}	 stop after 400 iteration with train cost	0.437648	 test cost	0.877661	 train acc	0.823762	 test acc	0.538625
Search parameters {'num_hidden': 9, 'size_layer': 256, 'learning_rate': 0.1341640364715721, 'dropout_rate': 0.8503780173177293}	 stop after 400 iteration with train cost	0.437828	 test cost	0.870728	 train acc	0.823559	 test acc	0.540142
Search parameters {'num_hidden': 9, 'size_layer': 333, 'learning_rate': 0.13974387129316015, 'dropout_rate': 0.8432085507343225}	 stop after 400 iteration with train cost	0.436783	 test cost	0.872843	 train acc	0.824726	 test acc	0.538928
Search parameters {'num_hidden': 7, 'size_layer': 331, 'learning_rate': 0.16315020282309847, 'dropout_rate': 0.6971067877237122}	 stop after 400 iteration with train cost	0.438690	 test cost	0.883149	 train acc	0.822874	 test acc	0.534075
Search parameters {'num_hidden': 8, 'size_layer': 320, 'learning_rate': 0.13510153456523, 'dropout_rate': 0.6049212802309036}	 stop after 400 iteration with train cost	0.440907	 test cost	0.895594	 train acc	0.822190	 test acc	0.535794
Search parameters {'num_hidden': 11, 'size_layer': 276, 'learning_rate': 0.05739804490961953, 'dropout_rate': 0.7299566663235276}	 stop after 400 iteration with train cost	0.441970	 test cost	0.888952	 train acc	0.821809	 test acc	0.541759
Search parameters {'num_hidden': 9, 'size_layer': 325, 'learning_rate': 0.14579706940861145, 'dropout_rate': 0.8164210695920775}	 stop after 400 iteration with train cost	0.437415	 test cost	0.875087	 train acc	0.824219	 test acc	0.537614
Search parameters {'num_hidden': 10, 'size_layer': 294, 'learning_rate': 0.11387129447518174, 'dropout_rate': 0.7772797152711772}	 stop after 400 iteration with train cost	0.438013	 test cost	0.881652	 train acc	0.823509	 test acc	0.542164
Search parameters {'num_hidden': 11, 'size_layer': 254, 'learning_rate': 0.14643754046042537, 'dropout_rate': 0.6870802337003362}	 stop after 400 iteration with train cost	0.562210	 test cost	1.135658	 train acc	0.750203	 test acc	0.232963
Search parameters {'num_hidden': 11, 'size_layer': 304, 'learning_rate': 0.18294410006887776, 'dropout_rate': 0.6446527519754602}	 stop after 400 iteration with train cost	0.562229	 test cost	1.136521	 train acc	0.750203	 test acc	0.232963
Search parameters {'num_hidden': 10, 'size_layer': 279, 'learning_rate': 0.1463133712619743, 'dropout_rate': 0.7556239199147823}	 stop after 400 iteration with train cost	0.438996	 test cost	0.888992	 train acc	0.823864	 test acc	0.535490
Search parameters {'num_hidden': 10, 'size_layer': 283, 'learning_rate': 0.17791600379989758, 'dropout_rate': 0.6418269169948573}	 stop after 400 iteration with train cost	0.562220	 test cost	1.136393	 train acc	0.750203	 test acc	0.232963
Search parameters {'num_hidden': 8, 'size_layer': 251, 'learning_rate': 0.053527415253185634, 'dropout_rate': 0.6534669381537591}	 stop after 400 iteration with train cost	0.441861	 test cost	0.898320	 train acc	0.821784	 test acc	0.534884
Search parameters {'num_hidden': 9, 'size_layer': 316, 'learning_rate': 0.06855262437690214, 'dropout_rate': 0.7550943649825347}	 stop after 400 iteration with train cost	0.438935	 test cost	0.882062	 train acc	0.822773	 test acc	0.542467
Search parameters {'num_hidden': 9, 'size_layer': 311, 'learning_rate': 0.08616935664434193, 'dropout_rate': 0.8602870872709476}	 stop after 400 iteration with train cost	0.437265	 test cost	0.875810	 train acc	0.823128	 test acc	0.538119
Search parameters {'num_hidden': 9, 'size_layer': 256, 'learning_rate': 0.11696514221188924, 'dropout_rate': 0.806909207236511}	 stop after 400 iteration with train cost	0.438028	 test cost	0.880833	 train acc	0.823458	 test acc	0.544287
Search parameters {'num_hidden': 10, 'size_layer': 260, 'learning_rate': 0.146419194818753, 'dropout_rate': 0.717598704874558}	 stop after 400 iteration with train cost	0.439148	 test cost	0.894457	 train acc	0.822697	 test acc	0.532861
Search parameters {'num_hidden': 8, 'size_layer': 340, 'learning_rate': 0.11578744079026465, 'dropout_rate': 0.6799608690377303}	 stop after 400 iteration with train cost	0.440174	 test cost	0.885804	 train acc	0.822824	 test acc	0.537412
Search parameters {'num_hidden': 9, 'size_layer': 304, 'learning_rate': 0.10880958399624095, 'dropout_rate': 0.7258588798694894}	 stop after 400 iteration with train cost	0.439705	 test cost	0.884870	 train acc	0.823838	 test acc	0.538928
Search parameters {'num_hidden': 10, 'size_layer': 252, 'learning_rate': 0.10805999686666981, 'dropout_rate': 0.7961352975612511}	 stop after 400 iteration with train cost	0.438394	 test cost	0.902862	 train acc	0.822950	 test acc	0.536906
Search parameters {'num_hidden': 10, 'size_layer': 319, 'learning_rate': 0.14058114332406874, 'dropout_rate': 0.7670499958576569}	 stop after 400 iteration with train cost	0.439396	 test cost	0.883502	 train acc	0.822595	 test acc	0.545804
Search parameters {'num_hidden': 9, 'size_layer': 284, 'learning_rate': 0.13091520480975216, 'dropout_rate': 0.6425830844266556}	 stop after 400 iteration with train cost	0.440861	 test cost	0.894862	 train acc	0.822646	 test acc	0.536906
Search parameters {'num_hidden': 8, 'size_layer': 272, 'learning_rate': 0.16927173631657771, 'dropout_rate': 0.8803861987766981}	 stop after 400 iteration with train cost	0.436401	 test cost	0.873472	 train acc	0.823990	 test acc	0.538018
Search parameters {'num_hidden': 8, 'size_layer': 264, 'learning_rate': 0.1148041830522357, 'dropout_rate': 0.6010125909004529}	 stop after 400 iteration with train cost	0.440976	 test cost	0.887197	 train acc	0.821200	 test acc	0.540344
Search parameters {'num_hidden': 9, 'size_layer': 324, 'learning_rate': 0.18538317490170125, 'dropout_rate': 0.8361811303931608}	 stop after 400 iteration with train cost	0.437018	 test cost	0.876934	 train acc	0.823661	 test acc	0.548332
Search parameters {'num_hidden': 8, 'size_layer': 274, 'learning_rate': 0.050093349086769226, 'dropout_rate': 0.8227495291791287}	 stop after 400 iteration with train cost	0.438842	 test cost	0.883070	 train acc	0.821860	 test acc	0.538928
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.11415214704794327, 'dropout_rate': 0.7670747177689926}	 stop after 400 iteration with train cost	0.438254	 test cost	0.883408	 train acc	0.823001	 test acc	0.544186
Search parameters {'num_hidden': 11, 'size_layer': 306, 'learning_rate': 0.07039487141657763, 'dropout_rate': 0.7757501019801009}	 stop after 400 iteration with train cost	0.439313	 test cost	0.881379	 train acc	0.822494	 test acc	0.537108
Search parameters {'num_hidden': 8, 'size_layer': 327, 'learning_rate': 0.1757979870061087, 'dropout_rate': 0.633597194412313}	 stop after 400 iteration with train cost	0.438939	 test cost	0.879303	 train acc	0.823001	 test acc	0.539130
Search parameters {'num_hidden': 9, 'size_layer': 330, 'learning_rate': 0.12432180543380629, 'dropout_rate': 0.7952627621617343}	 stop after 400 iteration with train cost	0.438424	 test cost	0.885363	 train acc	0.823382	 test acc	0.540344
Search parameters {'num_hidden': 10, 'size_layer': 344, 'learning_rate': 0.1922769132070316, 'dropout_rate': 0.7181552794557006}	 stop after 400 iteration with train cost	0.439099	 test cost	0.880386	 train acc	0.824954	 test acc	0.538928
Search parameters {'num_hidden': 8, 'size_layer': 307, 'learning_rate': 0.12293323320217253, 'dropout_rate': 0.6217564395050892}	 stop after 400 iteration with train cost	0.439290	 test cost	0.892264	 train acc	0.821530	 test acc	0.535996
Search parameters {'num_hidden': 10, 'size_layer': 332, 'learning_rate': 0.12108579797141651, 'dropout_rate': 0.6440400552713211}	 stop after 400 iteration with train cost	0.441524	 test cost	0.896201	 train acc	0.821809	 test acc	0.528210
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.07891738564299494, 'dropout_rate': 0.8063824009752878}	 stop after 400 iteration with train cost	0.439266	 test cost	0.885652	 train acc	0.822012	 test acc	0.542467
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.1547631994466154, 'dropout_rate': 0.6036104349445522}	 stop after 400 iteration with train cost	0.441690	 test cost	0.885469	 train acc	0.823179	 test acc	0.538928
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.043471147076725614, 'dropout_rate': 0.6481068906888744}	 stop after 400 iteration with train cost	0.442106	 test cost	0.905075	 train acc	0.821454	 test acc	0.531143
Search parameters {'num_hidden': 8, 'size_layer': 343, 'learning_rate': 0.06674458585408848, 'dropout_rate': 0.6664853997871661}	 stop after 400 iteration with train cost	0.439948	 test cost	0.888306	 train acc	0.822545	 test acc	0.535288
Search parameters {'num_hidden': 9, 'size_layer': 284, 'learning_rate': 0.17036313882013104, 'dropout_rate': 0.806850282225059}	 stop after 400 iteration with train cost	0.437743	 test cost	0.875531	 train acc	0.824041	 test acc	0.544894
Search parameters {'num_hidden': 9, 'size_layer': 330, 'learning_rate': 0.15964754349921276, 'dropout_rate': 0.6380076869661454}	 stop after 400 iteration with train cost	0.441409	 test cost	0.892867	 train acc	0.822671	 test acc	0.537108
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.15605840915760272, 'dropout_rate': 0.6930000769948916}	 stop after 400 iteration with train cost	0.439418	 test cost	0.879216	 train acc	0.823103	 test acc	0.542366
Search parameters {'num_hidden': 10, 'size_layer': 342, 'learning_rate': 0.09111480957951669, 'dropout_rate': 0.6892260062025268}	 stop after 400 iteration with train cost	0.440561	 test cost	0.890432	 train acc	0.822266	 test acc	0.534479
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.15541114688393975, 'dropout_rate': 0.6211939944583513}	 stop after 400 iteration with train cost	0.442893	 test cost	0.887339	 train acc	0.822646	 test acc	0.541052
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.07805025697050258, 'dropout_rate': 0.8292998163705004}	 stop after 400 iteration with train cost	0.437899	 test cost	0.878691	 train acc	0.822798	 test acc	0.547523
Search parameters {'num_hidden': 10, 'size_layer': 298, 'learning_rate': 0.11477330347576961, 'dropout_rate': 0.8822236574379636}	 stop after 400 iteration with train cost	0.436675	 test cost	0.873630	 train acc	0.823534	 test acc	0.545096
Search parameters {'num_hidden': 10, 'size_layer': 295, 'learning_rate': 0.1590806134600632, 'dropout_rate': 0.8291313529804467}	 stop after 400 iteration with train cost	0.436877	 test cost	0.873274	 train acc	0.824447	 test acc	0.544995
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.03306967753912204, 'dropout_rate': 0.7617776371557269}	 stop after 400 iteration with train cost	0.440009	 test cost	0.889587	 train acc	0.821809	 test acc	0.545501
Search parameters {'num_hidden': 9, 'size_layer': 331, 'learning_rate': 0.12922227074489417, 'dropout_rate': 0.8241136830412058}	 stop after 400 iteration with train cost	0.437862	 test cost	0.867603	 train acc	0.823407	 test acc	0.546006
Search parameters {'num_hidden': 7, 'size_layer': 288, 'learning_rate': 0.13392289456055154, 'dropout_rate': 0.6129765257635187}	 stop after 400 iteration with train cost	0.439904	 test cost	0.900101	 train acc	0.823027	 test acc	0.536704
Search parameters {'num_hidden': 9, 'size_layer': 314, 'learning_rate': 0.05564490660687674, 'dropout_rate': 0.8133530481631258}	 stop after 400 iteration with train cost	0.437960	 test cost	0.890561	 train acc	0.822291	 test acc	0.535591
Search parameters {'num_hidden': 10, 'size_layer': 300, 'learning_rate': 0.057461064218142656, 'dropout_rate': 0.6534793053274027}	 stop after 400 iteration with train cost	0.443578	 test cost	0.897461	 train acc	0.822342	 test acc	0.533670
