Search parameters {'num_hidden': 8, 'size_layer': 343, 'learning_rate': 0.04390815549437143, 'dropout_rate': 0.6884001973148747}	 stop after 400 iteration with train cost	0.540444	 test cost	0.448811	 train acc	0.736430	 test acc	0.862386
Search parameters {'num_hidden': 8, 'size_layer': 269, 'learning_rate': 0.03469895716160522, 'dropout_rate': 0.650054938702868}	 stop after 400 iteration with train cost	0.543260	 test cost	0.458028	 train acc	0.737546	 test acc	0.862386
Search parameters {'num_hidden': 9, 'size_layer': 278, 'learning_rate': 0.0635250032340471, 'dropout_rate': 0.6284603796497984}	 stop after 400 iteration with train cost	0.542742	 test cost	0.454916	 train acc	0.737622	 test acc	0.853084
Search parameters {'num_hidden': 7, 'size_layer': 264, 'learning_rate': 0.19637827973631683, 'dropout_rate': 0.7460957194315244}	 stop after 400 iteration with train cost	0.537731	 test cost	0.448522	 train acc	0.740437	 test acc	0.835288
Search parameters {'num_hidden': 9, 'size_layer': 319, 'learning_rate': 0.042568356320307775, 'dropout_rate': 0.803462098025255}	 stop after 400 iteration with train cost	0.539672	 test cost	0.451536	 train acc	0.737267	 test acc	0.855814
Search parameters {'num_hidden': 10, 'size_layer': 272, 'learning_rate': 0.10252495317162337, 'dropout_rate': 0.8662556122928473}	 stop after 400 iteration with train cost	0.537192	 test cost	0.443734	 train acc	0.740589	 test acc	0.851264
Search parameters {'num_hidden': 10, 'size_layer': 289, 'learning_rate': 0.09164826772948982, 'dropout_rate': 0.7300460098147776}	 stop after 400 iteration with train cost	0.538823	 test cost	0.458932	 train acc	0.738789	 test acc	0.848837
Search parameters {'num_hidden': 9, 'size_layer': 335, 'learning_rate': 0.10925527238678193, 'dropout_rate': 0.7142376432515921}	 stop after 400 iteration with train cost	0.537796	 test cost	0.445786	 train acc	0.737038	 test acc	0.864408
Search parameters {'num_hidden': 9, 'size_layer': 266, 'learning_rate': 0.03752658977341846, 'dropout_rate': 0.6440273874257829}	 stop after 400 iteration with train cost	0.545051	 test cost	0.461175	 train acc	0.735948	 test acc	0.858847
Search parameters {'num_hidden': 8, 'size_layer': 333, 'learning_rate': 0.19499482764168458, 'dropout_rate': 0.6316196795755953}	 stop after 400 iteration with train cost	0.540080	 test cost	0.451041	 train acc	0.739144	 test acc	0.849646
Search parameters {'num_hidden': 10, 'size_layer': 328, 'learning_rate': 0.08116714985661468, 'dropout_rate': 0.7721631987953876}	 stop after 400 iteration with train cost	0.539065	 test cost	0.454487	 train acc	0.737191	 test acc	0.866330
Search parameters {'num_hidden': 7, 'size_layer': 285, 'learning_rate': 0.1394983545316616, 'dropout_rate': 0.866537629821601}	 stop after 400 iteration with train cost	0.534812	 test cost	0.455643	 train acc	0.739448	 test acc	0.845399
Search parameters {'num_hidden': 10, 'size_layer': 279, 'learning_rate': 0.09318787487902637, 'dropout_rate': 0.7163519883726438}	 stop after 400 iteration with train cost	0.540850	 test cost	0.448877	 train acc	0.739372	 test acc	0.865925
Search parameters {'num_hidden': 8, 'size_layer': 314, 'learning_rate': 0.11812981966864715, 'dropout_rate': 0.7894909989820988}	 stop after 400 iteration with train cost	0.537415	 test cost	0.446839	 train acc	0.738865	 test acc	0.850354
Search parameters {'num_hidden': 8, 'size_layer': 322, 'learning_rate': 0.0784363811422149, 'dropout_rate': 0.793172819953191}	 stop after 400 iteration with train cost	0.537889	 test cost	0.451034	 train acc	0.739144	 test acc	0.849848
Search parameters {'num_hidden': 11, 'size_layer': 320, 'learning_rate': 0.1928857742022122, 'dropout_rate': 0.8060030184862632}	 stop after 400 iteration with train cost	nan	 test cost	nan	 train acc	0.441812	 test acc	0.000000
Search parameters {'num_hidden': 10, 'size_layer': 274, 'learning_rate': 0.04420950112208907, 'dropout_rate': 0.7868418646351173}	 stop after 400 iteration with train cost	0.539632	 test cost	0.452230	 train acc	0.738180	 test acc	0.851365
Search parameters {'num_hidden': 9, 'size_layer': 263, 'learning_rate': 0.0979676992811927, 'dropout_rate': 0.6321538898385345}	 stop after 400 iteration with train cost	0.541526	 test cost	0.456322	 train acc	0.739296	 test acc	0.870475
Search parameters {'num_hidden': 11, 'size_layer': 265, 'learning_rate': 0.022568409795823655, 'dropout_rate': 0.7171374765858406}	 stop after 400 iteration with train cost	0.545887	 test cost	0.464386	 train acc	0.736480	 test acc	0.864813
Search parameters {'num_hidden': 9, 'size_layer': 324, 'learning_rate': 0.09617337108625518, 'dropout_rate': 0.6277574542806729}	 stop after 400 iteration with train cost	0.541062	 test cost	0.451260	 train acc	0.737749	 test acc	0.854904
Search parameters {'num_hidden': 7, 'size_layer': 314, 'learning_rate': 0.17297632599713905, 'dropout_rate': 0.736664727307307}	 stop after 400 iteration with train cost	0.537081	 test cost	0.447551	 train acc	0.738510	 test acc	0.857432
Search parameters {'num_hidden': 11, 'size_layer': 264, 'learning_rate': 0.07890578846966814, 'dropout_rate': 0.8978222798675203}	 stop after 400 iteration with train cost	0.537014	 test cost	0.455382	 train acc	0.739499	 test acc	0.828817
Search parameters {'num_hidden': 7, 'size_layer': 345, 'learning_rate': 0.07670469615285123, 'dropout_rate': 0.6360380978401072}	 stop after 400 iteration with train cost	0.539512	 test cost	0.457935	 train acc	0.738535	 test acc	0.864914
Search parameters {'num_hidden': 7, 'size_layer': 328, 'learning_rate': 0.01229146009770213, 'dropout_rate': 0.8139383203920763}	 stop after 400 iteration with train cost	0.541770	 test cost	0.456098	 train acc	0.738180	 test acc	0.860263
Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.032961144208882326, 'dropout_rate': 0.7215966872909662}	 stop after 400 iteration with train cost	0.686395	 test cost	0.581817	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 8, 'size_layer': 263, 'learning_rate': 0.04273689682764975, 'dropout_rate': 0.7678278055347406}	 stop after 400 iteration with train cost	0.540329	 test cost	0.453742	 train acc	0.737926	 test acc	0.858140
Search parameters {'num_hidden': 11, 'size_layer': 314, 'learning_rate': 0.02661773014649637, 'dropout_rate': 0.8534770899013453}	 stop after 400 iteration with train cost	0.540314	 test cost	0.452125	 train acc	0.737850	 test acc	0.850455
Search parameters {'num_hidden': 8, 'size_layer': 320, 'learning_rate': 0.08361855588793653, 'dropout_rate': 0.6187103834144989}	 stop after 400 iteration with train cost	0.539710	 test cost	0.451269	 train acc	0.737596	 test acc	0.847017
Search parameters {'num_hidden': 10, 'size_layer': 324, 'learning_rate': 0.19364444800215125, 'dropout_rate': 0.6893330531904186}	 stop after 400 iteration with train cost	0.686481	 test cost	0.587942	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 9, 'size_layer': 321, 'learning_rate': 0.15856223310616818, 'dropout_rate': 0.6825410218248421}	 stop after 400 iteration with train cost	0.539753	 test cost	0.453262	 train acc	0.741604	 test acc	0.854398
Search parameters {'num_hidden': 11, 'size_layer': 324, 'learning_rate': 0.2, 'dropout_rate': 0.7266923705649576}	 stop after 400 iteration with train cost	0.686489	 test cost	0.588408	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 10, 'size_layer': 323, 'learning_rate': 0.1913151926113616, 'dropout_rate': 0.8506127714689965}	 stop after 400 iteration with train cost	nan	 test cost	nan	 train acc	0.441812	 test acc	0.000000
Search parameters {'num_hidden': 9, 'size_layer': 280, 'learning_rate': 0.19092421560538728, 'dropout_rate': 0.8092183424590917}	 stop after 400 iteration with train cost	nan	 test cost	nan	 train acc	0.441812	 test acc	0.000000
Search parameters {'num_hidden': 8, 'size_layer': 345, 'learning_rate': 0.19550299739979515, 'dropout_rate': 0.8915902417604913}	 stop after 400 iteration with train cost	nan	 test cost	nan	 train acc	0.441812	 test acc	0.000000
Search parameters {'num_hidden': 10, 'size_layer': 272, 'learning_rate': 0.016420383869318492, 'dropout_rate': 0.7275665033517933}	 stop after 400 iteration with train cost	0.548751	 test cost	0.463584	 train acc	0.735567	 test acc	0.871486
Search parameters {'num_hidden': 7, 'size_layer': 277, 'learning_rate': 0.054565993196254665, 'dropout_rate': 0.6299111479271045}	 stop after 400 iteration with train cost	0.541682	 test cost	0.458592	 train acc	0.737393	 test acc	0.842973
Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.048024505966667554, 'dropout_rate': 0.7014904999756912}	 stop after 400 iteration with train cost	0.582678	 test cost	0.517174	 train acc	0.722834	 test acc	0.884631
Search parameters {'num_hidden': 8, 'size_layer': 284, 'learning_rate': 0.05261794410584247, 'dropout_rate': 0.6003854296017916}	 stop after 400 iteration with train cost	0.542501	 test cost	0.449067	 train acc	0.737749	 test acc	0.860061
Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.015306002715958781, 'dropout_rate': 0.6618297977380122}	 stop after 400 iteration with train cost	0.686614	 test cost	0.582513	 train acc	0.558188	 test acc	0.999899
Search parameters {'num_hidden': 9, 'size_layer': 251, 'learning_rate': 0.1561191145042044, 'dropout_rate': 0.6003751558229276}	 stop after 400 iteration with train cost	0.542361	 test cost	0.451810	 train acc	0.737292	 test acc	0.846006
Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.06028449744641992, 'dropout_rate': 0.864847835103525}	 stop after 400 iteration with train cost	0.537191	 test cost	0.455244	 train acc	0.739321	 test acc	0.834884
Search parameters {'num_hidden': 10, 'size_layer': 342, 'learning_rate': 0.12934702686208882, 'dropout_rate': 0.6966469245880159}	 stop after 400 iteration with train cost	0.539594	 test cost	0.448083	 train acc	0.739473	 test acc	0.854904
Search parameters {'num_hidden': 8, 'size_layer': 344, 'learning_rate': 0.16154239353741356, 'dropout_rate': 0.7328362467335591}	 stop after 400 iteration with train cost	0.537679	 test cost	0.457482	 train acc	0.739955	 test acc	0.842568
Search parameters {'num_hidden': 9, 'size_layer': 254, 'learning_rate': 0.08662342204719163, 'dropout_rate': 0.74100627142819}	 stop after 400 iteration with train cost	0.539451	 test cost	0.448719	 train acc	0.738560	 test acc	0.858038
Search parameters {'num_hidden': 10, 'size_layer': 324, 'learning_rate': 0.164426481427132, 'dropout_rate': 0.7481880838624075}	 stop after 400 iteration with train cost	0.545043	 test cost	0.444358	 train acc	0.738332	 test acc	0.874115
Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.06257461129066685, 'dropout_rate': 0.7921962258748565}	 stop after 400 iteration with train cost	0.539581	 test cost	0.455172	 train acc	0.738205	 test acc	0.849949
Search parameters {'num_hidden': 8, 'size_layer': 334, 'learning_rate': 0.11257154786265432, 'dropout_rate': 0.696389962748576}	 stop after 400 iteration with train cost	0.538132	 test cost	0.444913	 train acc	0.737317	 test acc	0.849949
Search parameters {'num_hidden': 11, 'size_layer': 320, 'learning_rate': 0.17292617188724863, 'dropout_rate': 0.7882401806851986}	 stop after 400 iteration with train cost	nan	 test cost	nan	 train acc	0.441812	 test acc	0.000000
Search parameters {'num_hidden': 11, 'size_layer': 324, 'learning_rate': 0.0584330797495409, 'dropout_rate': 0.7796288115409993}	 stop after 400 iteration with train cost	0.539747	 test cost	0.455097	 train acc	0.738357	 test acc	0.849848
Search parameters {'num_hidden': 8, 'size_layer': 304, 'learning_rate': 0.1309305119076715, 'dropout_rate': 0.8579113945322102}	 stop after 400 iteration with train cost	0.535421	 test cost	0.446550	 train acc	0.739423	 test acc	0.835490
Search parameters {'num_hidden': 10, 'size_layer': 324, 'learning_rate': 0.14512818858320148, 'dropout_rate': 0.6145431305827219}	 stop after 400 iteration with train cost	0.686467	 test cost	0.585218	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 8, 'size_layer': 308, 'learning_rate': 0.16191107139326882, 'dropout_rate': 0.6187601311541233}	 stop after 400 iteration with train cost	0.540684	 test cost	0.450727	 train acc	0.738510	 test acc	0.860364
Search parameters {'num_hidden': 10, 'size_layer': 324, 'learning_rate': 0.16129248485480366, 'dropout_rate': 0.6219645465269427}	 stop after 400 iteration with train cost	0.686482	 test cost	0.586112	 train acc	0.558163	 test acc	1.000000
Search parameters {'num_hidden': 11, 'size_layer': 324, 'learning_rate': 0.155711451921744, 'dropout_rate': 0.7191364551401427}	 stop after 400 iteration with train cost	0.539526	 test cost	0.457658	 train acc	0.737799	 test acc	0.853084
Search parameters {'num_hidden': 10, 'size_layer': 324, 'learning_rate': 0.025145580333572753, 'dropout_rate': 0.6035417769020212}	 stop after 400 iteration with train cost	0.548486	 test cost	0.455160	 train acc	0.738636	 test acc	0.868857
Search parameters {'num_hidden': 10, 'size_layer': 271, 'learning_rate': 0.18637771588477223, 'dropout_rate': 0.6099266651150159}	 stop after 400 iteration with train cost	0.686468	 test cost	0.587522	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 8, 'size_layer': 326, 'learning_rate': 0.050107844805601334, 'dropout_rate': 0.7670116801527378}	 stop after 400 iteration with train cost	0.538485	 test cost	0.452943	 train acc	0.738459	 test acc	0.845905
Search parameters {'num_hidden': 10, 'size_layer': 272, 'learning_rate': 0.14603720206288617, 'dropout_rate': 0.6133192005803731}	 stop after 400 iteration with train cost	0.686455	 test cost	0.585279	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 9, 'size_layer': 263, 'learning_rate': 0.013247404400664027, 'dropout_rate': 0.6069469347356148}	 stop after 400 iteration with train cost	0.552997	 test cost	0.476212	 train acc	0.736759	 test acc	0.857230
Search parameters {'num_hidden': 10, 'size_layer': 272, 'learning_rate': 0.19779075285965766, 'dropout_rate': 0.7232145836250747}	 stop after 400 iteration with train cost	0.686477	 test cost	0.588210	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 10, 'size_layer': 342, 'learning_rate': 0.17177570025282832, 'dropout_rate': 0.652728542820319}	 stop after 400 iteration with train cost	0.686475	 test cost	0.586758	 train acc	0.558188	 test acc	1.000000
Search parameters {'num_hidden': 9, 'size_layer': 252, 'learning_rate': 0.19151944155733472, 'dropout_rate': 0.756046950398055}	 stop after 400 iteration with train cost	0.537733	 test cost	0.444508	 train acc	0.738966	 test acc	0.851163
