Search parameters {'num_hidden': 9, 'size_layer': 344, 'learning_rate': 0.03723095254319803, 'dropout_rate': 0.629875611870909}	 stop after 400 iteration with train cost	0.540856	 test cost	0.452056	 train acc	0.739626	 test acc	0.847927
Search parameters {'num_hidden': 10, 'size_layer': 325, 'learning_rate': 0.057228209285843615, 'dropout_rate': 0.8544325086204666}	 stop after 400 iteration with train cost	0.536390	 test cost	0.457639	 train acc	0.741579	 test acc	0.823559
Search parameters {'num_hidden': 9, 'size_layer': 290, 'learning_rate': 0.10457032145541982, 'dropout_rate': 0.8567883325877349}	 stop after 400 iteration with train cost	0.533653	 test cost	0.461246	 train acc	0.741097	 test acc	0.808696
Search parameters {'num_hidden': 8, 'size_layer': 278, 'learning_rate': 0.058829090940519024, 'dropout_rate': 0.6095479543937509}	 stop after 400 iteration with train cost	0.539247	 test cost	0.456847	 train acc	0.740234	 test acc	0.841962
Search parameters {'num_hidden': 10, 'size_layer': 274, 'learning_rate': 0.09700891597301499, 'dropout_rate': 0.637447239974967}	 stop after 400 iteration with train cost	0.539506	 test cost	0.466645	 train acc	0.740387	 test acc	0.821739
Search parameters {'num_hidden': 10, 'size_layer': 339, 'learning_rate': 0.12167875772773883, 'dropout_rate': 0.6132816577349453}	 stop after 400 iteration with train cost	0.686454	 test cost	0.585465	 train acc	0.558416	 test acc	1.000000
Search parameters {'num_hidden': 11, 'size_layer': 314, 'learning_rate': 0.057730582087135975, 'dropout_rate': 0.8167810235159748}	 stop after 400 iteration with train cost	0.536403	 test cost	0.458146	 train acc	0.740615	 test acc	0.841355
Search parameters {'num_hidden': 9, 'size_layer': 337, 'learning_rate': 0.11452587214960636, 'dropout_rate': 0.7240288012581098}	 stop after 400 iteration with train cost	0.536990	 test cost	0.452508	 train acc	0.741706	 test acc	0.835187
Search parameters {'num_hidden': 11, 'size_layer': 302, 'learning_rate': 0.14150957203169803, 'dropout_rate': 0.8286697200214785}	 stop after 400 iteration with train cost	0.534563	 test cost	0.448836	 train acc	0.741173	 test acc	0.820627
Search parameters {'num_hidden': 7, 'size_layer': 335, 'learning_rate': 0.16124038655554088, 'dropout_rate': 0.654552996058}	 stop after 400 iteration with train cost	0.536596	 test cost	0.452050	 train acc	0.741655	 test acc	0.838119
Search parameters {'num_hidden': 8, 'size_layer': 280, 'learning_rate': 0.05648836924117085, 'dropout_rate': 0.8681804002947597}	 stop after 400 iteration with train cost	0.534216	 test cost	0.452284	 train acc	0.741325	 test acc	0.837209
Search parameters {'num_hidden': 7, 'size_layer': 350, 'learning_rate': 0.03843388668174947, 'dropout_rate': 0.8487238824213594}	 stop after 400 iteration with train cost	0.536495	 test cost	0.453934	 train acc	0.739905	 test acc	0.834277
Search parameters {'num_hidden': 7, 'size_layer': 255, 'learning_rate': 0.12097340328788962, 'dropout_rate': 0.8723687239227134}	 stop after 400 iteration with train cost	0.533930	 test cost	0.456430	 train acc	0.741731	 test acc	0.811830
Search parameters {'num_hidden': 7, 'size_layer': 279, 'learning_rate': 0.10339914625531621, 'dropout_rate': 0.7266407664607288}	 stop after 400 iteration with train cost	0.537454	 test cost	0.457595	 train acc	0.741782	 test acc	0.833468
Search parameters {'num_hidden': 9, 'size_layer': 304, 'learning_rate': 0.19760122364690044, 'dropout_rate': 0.7716571658896613}	 stop after 400 iteration with train cost	0.534730	 test cost	0.450548	 train acc	0.742593	 test acc	0.814459
Search parameters {'num_hidden': 11, 'size_layer': 284, 'learning_rate': 0.1048804498535639, 'dropout_rate': 0.8749184945086832}	 stop after 400 iteration with train cost	0.535087	 test cost	0.459127	 train acc	0.740031	 test acc	0.816077
Search parameters {'num_hidden': 9, 'size_layer': 322, 'learning_rate': 0.1483962815717886, 'dropout_rate': 0.6380609764013219}	 stop after 400 iteration with train cost	0.539414	 test cost	0.459515	 train acc	0.739220	 test acc	0.838726
Search parameters {'num_hidden': 8, 'size_layer': 267, 'learning_rate': 0.11831624574196856, 'dropout_rate': 0.6518176689923001}	 stop after 400 iteration with train cost	0.538947	 test cost	0.452819	 train acc	0.741046	 test acc	0.832356
