Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.054526712129671376, 'dropout_rate': 0.7490947375975567}	 stop after 400 iteration with train cost	0.387916	 test cost	1.256373	 train acc	0.852704	 test acc	0.390597
Search parameters {'num_hidden': 8, 'size_layer': 270, 'learning_rate': 0.1488524376176587, 'dropout_rate': 0.6059877328875516}	 stop after 400 iteration with train cost	0.386505	 test cost	1.238341	 train acc	0.854023	 test acc	0.375329
Search parameters {'num_hidden': 8, 'size_layer': 345, 'learning_rate': 0.09943486369962415, 'dropout_rate': 0.6787347447158097}	 stop after 400 iteration with train cost	0.385308	 test cost	1.237670	 train acc	0.854327	 test acc	0.368959
Search parameters {'num_hidden': 9, 'size_layer': 299, 'learning_rate': 0.04640440767977618, 'dropout_rate': 0.8848304907189846}	 stop after 400 iteration with train cost	0.384129	 test cost	1.229911	 train acc	0.854987	 test acc	0.375531
Search parameters {'num_hidden': 11, 'size_layer': 299, 'learning_rate': 0.1941952328776348, 'dropout_rate': 0.6077491225003095}	 stop after 400 iteration with train cost	0.488811	 test cost	1.640869	 train acc	0.808289	 test acc	0.000000
Search parameters {'num_hidden': 9, 'size_layer': 298, 'learning_rate': 0.01, 'dropout_rate': 0.8307323960754505}	 stop after 400 iteration with train cost	0.388462	 test cost	1.235795	 train acc	0.852653	 test acc	0.401719
Search parameters {'num_hidden': 9, 'size_layer': 270, 'learning_rate': 0.1995308492557662, 'dropout_rate': 0.6000063281805681}	 stop after 400 iteration with train cost	0.387383	 test cost	1.233560	 train acc	0.853820	 test acc	0.374419
Search parameters {'num_hidden': 8, 'size_layer': 269, 'learning_rate': 0.12237513860637278, 'dropout_rate': 0.6546840586638126}	 stop after 400 iteration with train cost	0.385514	 test cost	1.240742	 train acc	0.854124	 test acc	0.365521
Search parameters {'num_hidden': 8, 'size_layer': 316, 'learning_rate': 0.0440407629950749, 'dropout_rate': 0.7014746631834963}	 stop after 400 iteration with train cost	0.385985	 test cost	1.240863	 train acc	0.853668	 test acc	0.380890
Search parameters {'num_hidden': 7, 'size_layer': 316, 'learning_rate': 0.011585853844905642, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.386085	 test cost	1.235764	 train acc	0.853161	 test acc	0.397270
Search parameters {'num_hidden': 10, 'size_layer': 269, 'learning_rate': 0.01, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.386953	 test cost	1.241889	 train acc	0.853313	 test acc	0.400202
Search parameters {'num_hidden': 10, 'size_layer': 268, 'learning_rate': 0.2, 'dropout_rate': 0.6}	 stop after 400 iteration with train cost	0.488776	 test cost	1.640541	 train acc	0.808289	 test acc	0.000000
Search parameters {'num_hidden': 10, 'size_layer': 269, 'learning_rate': 0.01, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.386785	 test cost	1.242198	 train acc	0.852273	 test acc	0.394439
Search parameters {'num_hidden': 11, 'size_layer': 269, 'learning_rate': 0.12532382616608717, 'dropout_rate': 0.8378242598029256}	 stop after 400 iteration with train cost	0.383582	 test cost	1.222551	 train acc	0.855291	 test acc	0.362892
Search parameters {'num_hidden': 10, 'size_layer': 298, 'learning_rate': 0.017754594873616483, 'dropout_rate': 0.7626512677557811}	 stop after 400 iteration with train cost	0.389083	 test cost	1.255387	 train acc	0.850751	 test acc	0.388170
Search parameters {'num_hidden': 9, 'size_layer': 299, 'learning_rate': 0.01, 'dropout_rate': 0.7404718119375042}	 stop after 400 iteration with train cost	0.390685	 test cost	1.251004	 train acc	0.850345	 test acc	0.402427
Search parameters {'num_hidden': 7, 'size_layer': 317, 'learning_rate': 0.1021457910633492, 'dropout_rate': 0.6226252015231429}	 stop after 400 iteration with train cost	0.385160	 test cost	1.231635	 train acc	0.854150	 test acc	0.375329
Search parameters {'num_hidden': 8, 'size_layer': 316, 'learning_rate': 0.2, 'dropout_rate': 0.6}	 stop after 400 iteration with train cost	0.386145	 test cost	1.233589	 train acc	0.854048	 test acc	0.367442
Search parameters {'num_hidden': 8, 'size_layer': 317, 'learning_rate': 0.2, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.380537	 test cost	1.235506	 train acc	0.855976	 test acc	0.359353
Search parameters {'num_hidden': 9, 'size_layer': 269, 'learning_rate': 0.1093759204728861, 'dropout_rate': 0.7293513068698249}	 stop after 400 iteration with train cost	0.385130	 test cost	1.241908	 train acc	0.855317	 test acc	0.365116
Search parameters {'num_hidden': 9, 'size_layer': 348, 'learning_rate': 0.03038552725654825, 'dropout_rate': 0.8579638968033292}	 stop after 400 iteration with train cost	0.385400	 test cost	1.231889	 train acc	0.854251	 test acc	0.389585
Search parameters {'num_hidden': 8, 'size_layer': 348, 'learning_rate': 0.02531054016065939, 'dropout_rate': 0.7876359872113259}	 stop after 400 iteration with train cost	0.386653	 test cost	1.240421	 train acc	0.854353	 test acc	0.393428
Search parameters {'num_hidden': 8, 'size_layer': 349, 'learning_rate': 0.2, 'dropout_rate': 0.6}	 stop after 400 iteration with train cost	0.386095	 test cost	1.240327	 train acc	0.854200	 test acc	0.372902
Search parameters {'num_hidden': 10, 'size_layer': 251, 'learning_rate': 0.04997900386635298, 'dropout_rate': 0.6547806237527632}	 stop after 400 iteration with train cost	0.389197	 test cost	1.249664	 train acc	0.852856	 test acc	0.388574
Search parameters {'num_hidden': 10, 'size_layer': 250, 'learning_rate': 0.04848756724935755, 'dropout_rate': 0.8314517652919621}	 stop after 400 iteration with train cost	0.385010	 test cost	1.230396	 train acc	0.855038	 test acc	0.371385
Search parameters {'num_hidden': 10, 'size_layer': 348, 'learning_rate': 0.17257557105028473, 'dropout_rate': 0.6079213830438948}	 stop after 400 iteration with train cost	0.387924	 test cost	1.245508	 train acc	0.854099	 test acc	0.380283
Search parameters {'num_hidden': 11, 'size_layer': 251, 'learning_rate': 0.08804726873137517, 'dropout_rate': 0.6648563999517336}	 stop after 400 iteration with train cost	0.387939	 test cost	1.245569	 train acc	0.855114	 test acc	0.380890
Search parameters {'num_hidden': 8, 'size_layer': 347, 'learning_rate': 0.14666355589611285, 'dropout_rate': 0.7643039990855287}	 stop after 400 iteration with train cost	0.383666	 test cost	1.234425	 train acc	0.855063	 test acc	0.373913
Search parameters {'num_hidden': 9, 'size_layer': 254, 'learning_rate': 0.06364587024550389, 'dropout_rate': 0.6606792249595758}	 stop after 400 iteration with train cost	0.387758	 test cost	1.244780	 train acc	0.855190	 test acc	0.381800
Search parameters {'num_hidden': 10, 'size_layer': 255, 'learning_rate': 0.08343348938332414, 'dropout_rate': 0.6093201368324855}	 stop after 400 iteration with train cost	0.389334	 test cost	1.249554	 train acc	0.853998	 test acc	0.387664
Search parameters {'num_hidden': 9, 'size_layer': 256, 'learning_rate': 0.2, 'dropout_rate': 0.9}	 stop after 400 iteration with train cost	0.380500	 test cost	1.222346	 train acc	0.855469	 test acc	0.365723
Search parameters {'num_hidden': 8, 'size_layer': 263, 'learning_rate': 0.04339128304867656, 'dropout_rate': 0.8764250505918572}	 stop after 400 iteration with train cost	0.384748	 test cost	1.241356	 train acc	0.854987	 test acc	0.377856
